workerid,proliferate.condition,condition,item,response,slide_number,trial_type,catch_trials,subject_information.age,subject_information.assess,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
26,Default,,,0.99,,one_slider_practice,[],21,Yes,"There were two errors that seemed accidental rather than experimental; in one case, ""the the"" was written and in another case a noun came before a ""the"". I had trouble answering those because I wasn't sure if they were intentional.",2,1,Female,English,Safari,Mac,1180,820,13.86425,
26,Default,,,1,,one_slider_practice,[],21,Yes,"There were two errors that seemed accidental rather than experimental; in one case, ""the the"" was written and in another case a noun came before a ""the"". I had trouble answering those because I wasn't sure if they were intentional.",2,1,Female,English,Safari,Mac,1180,820,13.86425,
26,Default,NQI,coach,0.86,6,one_slider,[],21,Yes,"There were two errors that seemed accidental rather than experimental; in one case, ""the the"" was written and in another case a noun came before a ""the"". I had trouble answering those because I wasn't sure if they were intentional.",2,1,Female,English,Safari,Mac,1180,820,13.86425,
26,Default,YDA,fan,0.02,7,one_slider,[],21,Yes,"There were two errors that seemed accidental rather than experimental; in one case, ""the the"" was written and in another case a noun came before a ""the"". I had trouble answering those because I wasn't sure if they were intentional.",2,1,Female,English,Safari,Mac,1180,820,13.86425,
26,Default,NDA,stylist,0.91,8,one_slider,[],21,Yes,"There were two errors that seemed accidental rather than experimental; in one case, ""the the"" was written and in another case a noun came before a ""the"". I had trouble answering those because I wasn't sure if they were intentional.",2,1,Female,English,Safari,Mac,1180,820,13.86425,
26,Default,filler,filler2,0.83,9,one_slider,[],21,Yes,"There were two errors that seemed accidental rather than experimental; in one case, ""the the"" was written and in another case a noun came before a ""the"". I had trouble answering those because I wasn't sure if they were intentional.",2,1,Female,English,Safari,Mac,1180,820,13.86425,
26,Default,filler,filler5,0.04,10,one_slider,[],21,Yes,"There were two errors that seemed accidental rather than experimental; in one case, ""the the"" was written and in another case a noun came before a ""the"". I had trouble answering those because I wasn't sure if they were intentional.",2,1,Female,English,Safari,Mac,1180,820,13.86425,
26,Default,NDI,conductor,0.89,11,one_slider,[],21,Yes,"There were two errors that seemed accidental rather than experimental; in one case, ""the the"" was written and in another case a noun came before a ""the"". I had trouble answering those because I wasn't sure if they were intentional.",2,1,Female,English,Safari,Mac,1180,820,13.86425,
26,Default,YQI,chef,0.39,12,one_slider,[],21,Yes,"There were two errors that seemed accidental rather than experimental; in one case, ""the the"" was written and in another case a noun came before a ""the"". I had trouble answering those because I wasn't sure if they were intentional.",2,1,Female,English,Safari,Mac,1180,820,13.86425,
26,Default,YQI,troopleader,0.74,13,one_slider,[],21,Yes,"There were two errors that seemed accidental rather than experimental; in one case, ""the the"" was written and in another case a noun came before a ""the"". I had trouble answering those because I wasn't sure if they were intentional.",2,1,Female,English,Safari,Mac,1180,820,13.86425,
26,Default,YDI,bartender,0.77,14,one_slider,[],21,Yes,"There were two errors that seemed accidental rather than experimental; in one case, ""the the"" was written and in another case a noun came before a ""the"". I had trouble answering those because I wasn't sure if they were intentional.",2,1,Female,English,Safari,Mac,1180,820,13.86425,
